Timestamp,Candle_Timestamp,Profile,Signal_Type,Votes,Threshold,ADX_Value,ADX_Threshold,Cooldown_Remaining,Blocked_Reason,Status
2026-06-17 21:36:26,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:36:58,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:37:31,2026-06-17 16:10:00,Balanced,NONE,0,3,27.29,15,0,,NONE
2026-06-17 21:38:03,2026-06-17 16:10:00,Balanced,NONE,0,3,27.29,15,0,,NONE
2026-06-17 21:38:34,2026-06-17 16:10:00,Balanced,NONE,0,3,27.29,15,0,,NONE
2026-06-17 21:50:20,2026-06-17 16:20:00,Conservative,NONE,0,4,30.37,20,0,,NONE
2026-06-17 21:50:20,2026-06-17 16:20:00,Balanced,NONE,0,3,30.37,15,0,,NONE
2026-06-17 21:50:20,2026-06-17 16:20:00,Aggressive,NONE,0,2,30.37,10,0,,NONE
2026-06-17 21:50:20,2026-06-17 16:26:00,Scalper,BUY,4,2,42.81,5,0,Blocked because volatility too low (ATR 56.18),BLOCKED_VOLATILITY
2026-06-17 22:43:42,2026-06-17 17:15:00,Conservative,BUY,2,4,40.57,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:43:42,2026-06-17 17:15:00,Balanced,BUY,2,3,40.57,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:43:42,2026-06-17 17:15:00,Aggressive,BUY,2,2,40.57,10,3,Blocked because cooldown active (3 candles left),BLOCKED_COOLDOWN
2026-06-17 22:43:42,2026-06-17 17:20:00,Scalper,SELL,2,2,10.85,5,3,Blocked because volatility too low (ATR 45.98),BLOCKED_VOLATILITY
2026-06-17 22:43:43,2026-06-17 17:15:00,Conservative,BUY,2,4,40.57,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:43:43,2026-06-17 17:15:00,Balanced,BUY,2,3,40.57,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:43:43,2026-06-17 17:15:00,Aggressive,BUY,2,2,40.57,10,2,Blocked because cooldown active (2 candles left),BLOCKED_COOLDOWN
2026-06-17 22:43:43,2026-06-17 17:20:00,Scalper,SELL,2,2,10.85,5,2,Blocked because volatility too low (ATR 45.98),BLOCKED_VOLATILITY
2026-06-17 22:48:20,2026-06-17 17:20:00,Conservative,BUY,2,4,40.33,20,0,Blocked because consensus votes = 2 and threshold = 4,BLOCKED_CONSENSUS
2026-06-17 22:48:20,2026-06-17 17:20:00,Balanced,BUY,2,3,40.33,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 22:48:20,2026-06-17 17:20:00,Aggressive,BUY,2,2,40.33,10,1,Blocked because cooldown active (1 candles left),BLOCKED_COOLDOWN
2026-06-17 22:48:20,2026-06-17 17:24:00,Scalper,BUY,2,2,9.1,5,1,Blocked because volatility too low (ATR 41.83),BLOCKED_VOLATILITY
